id,username,account,password,name,created_at,image,role,department
1,admin,123456,123456,sanjin,2026-01-01 00:00:00,/image/admin.png,0,总部
2,user110257,499589,pass2989,部门1经理,2026-01-02 00:00:00,,1,部门1
3,user847327,292254,pass8600,部门2经理,2026-01-03 00:00:00,,2,部门2
4,user584444,591626,pass3472,部门3经理,2026-01-04 00:00:00,,3,部门3
5,user875452,708199,pass9746,部门4经理,2026-01-05 00:00:00,,4,部门4
6,user656948,116742,pass7956,部门5经理,2026-01-06 00:00:00,,5,部门5
7,user876415,701190,pass4524,部门6经理,2026-01-07 00:00:00,,6,部门6
8,user316634,585370,pass4074,部门7经理,2026-01-08 00:00:00,,7,部门7
9,user111992,891691,pass4365,部门8经理,2026-01-09 00:00:00,,8,部门8
10,user872710,323581,pass5746,部门9经理,2026-01-10 00:00:00,,9,部门9
11,user902423,492845,pass1172,部门10经理,2026-01-11 00:00:00,,10,部门10
12,user434551,359598,pass4602,部门1主管1,2026-01-12 00:00:00,,1.1,部门1
13,user220851,247698,pass8652,部门1主管2,2026-01-13 00:00:00,,1.2,部门1
14,user122410,479539,pass2306,部门1主管3,2026-01-14 00:00:00,,1.3,部门1
15,user804257,935359,pass4569,部门1主管4,2026-01-15 00:00:00,,1.4,部门1
16,user451153,742404,pass9982,部门1主管5,2026-01-16 00:00:00,,1.5,部门1
17,user337356,493849,pass3509,部门2主管1,2026-01-17 00:00:00,,2.1,部门2
18,user685932,342700,pass7281,部门2主管2,2026-01-18 00:00:00,,2.2,部门2
19,user208090,632335,pass7673,部门2主管3,2026-01-19 00:00:00,,2.3,部门2
20,user317304,684780,pass6629,部门2主管4,2026-01-20 00:00:00,,2.4,部门2
21,user723631,304465,pass8230,部门2主管5,2026-01-21 00:00:00,,2.5,部门2
22,user938584,947086,pass9220,部门3主管1,2026-01-22 00:00:00,,3.1,部门3
23,user693138,866972,pass9846,部门3主管2,2026-01-23 00:00:00,,3.2,部门3
24,user424807,599559,pass9860,部门3主管3,2026-01-24 00:00:00,,3.3,部门3
25,user450188,167015,pass2465,部门3主管4,2026-01-25 00:00:00,,3.4,部门3
26,user403945,180404,pass5161,部门3主管5,2026-01-26 00:00:00,,3.5,部门3
27,user337504,267256,pass1955,部门4主管1,2026-01-27 00:00:00,,4.1,部门4
28,user961181,705766,pass3096,部门4主管2,2026-01-28 00:00:00,,4.2,部门4
29,user708149,760458,pass9033,部门4主管3,2026-01-29 00:00:00,,4.3,部门4
30,user848918,252234,pass6098,部门4主管4,2026-01-30 00:00:00,,4.4,部门4
31,user710740,405886,pass4117,部门4主管5,2026-01-31 00:00:00,,4.5,部门4
32,user272658,598829,pass6690,部门5主管1,2026-02-01 00:00:00,,5.1,部门5
33,user452797,153781,pass9875,部门5主管2,2026-02-02 00:00:00,,5.2,部门5
34,user755921,136217,pass3664,部门5主管3,2026-02-03 00:00:00,,5.3,部门5
35,user947371,883779,pass1639,部门5主管4,2026-02-04 00:00:00,,5.4,部门5
36,user400559,245993,pass5412,部门5主管5,2026-02-05 00:00:00,,5.5,部门5
37,user113032,435965,pass3100,部门6主管1,2026-02-06 00:00:00,,6.1,部门6
38,user966144,124292,pass6130,部门6主管2,2026-02-07 00:00:00,,6.2,部门6
39,user130598,339223,pass9926,部门6主管3,2026-02-08 00:00:00,,6.3,部门6
40,user187256,285754,pass2228,部门6主管4,2026-02-09 00:00:00,,6.4,部门6
41,user460968,222478,pass7983,部门6主管5,2026-02-10 00:00:00,,6.5,部门6
42,user936136,334523,pass4450,部门7主管1,2026-02-11 00:00:00,,7.1,部门7
43,user889895,863495,pass8714,部门7主管2,2026-02-12 00:00:00,,7.2,部门7
44,user716002,124058,pass5230,部门7主管3,2026-02-13 00:00:00,,7.3,部门7
45,user787102,128294,pass3387,部门7主管4,2026-02-14 00:00:00,,7.4,部门7
46,user283245,418033,pass1274,部门7主管5,2026-02-15 00:00:00,,7.5,部门7
47,user545286,814830,pass6879,部门8主管1,2026-02-16 00:00:00,,8.1,部门8
48,user961119,597816,pass7497,部门8主管2,2026-02-17 00:00:00,,8.2,部门8
49,user377612,814134,pass6667,部门8主管3,2026-02-18 00:00:00,,8.3,部门8
50,user636168,974676,pass5756,部门8主管4,2026-02-19 00:00:00,,8.4,部门8
51,user782359,969000,pass5215,部门8主管5,2026-02-20 00:00:00,,8.5,部门8
52,user470652,479530,pass4349,部门9主管1,2026-02-21 00:00:00,,9.1,部门9
53,user834610,646192,pass3323,部门9主管2,2026-02-22 00:00:00,,9.2,部门9
54,user640780,559661,pass5239,部门9主管3,2026-02-23 00:00:00,,9.3,部门9
55,user371836,520819,pass1970,部门9主管4,2026-02-24 00:00:00,,9.4,部门9
56,user471700,673078,pass2552,部门9主管5,2026-02-25 00:00:00,,9.5,部门9
57,user139248,278221,pass2665,部门10主管1,2026-02-26 00:00:00,,10.1,部门10
58,user935018,325268,pass4409,部门10主管2,2026-02-27 00:00:00,,10.2,部门10
59,user313484,488566,pass6626,部门10主管3,2026-02-28 00:00:00,,10.3,部门10
60,user515926,344115,pass3941,部门10主管4,2026-03-01 00:00:00,,10.4,部门10
61,user341582,396484,pass4836,部门10主管5,2026-03-02 00:00:00,,10.5,部门10
62,user301559,820767,pass3700,组长_1-1-1,2026-03-03 00:00:00,,1.1.1,部门1
63,user123815,870993,pass4167,员工_1-1-1-1,2026-03-03 00:00:00,,1.1.1,部门1
64,user556993,565343,pass2366,员工_1-1-1-2,2026-03-03 00:00:00,,1.1.1,部门1
65,user618647,183290,pass7181,组长_1-1-2,2026-03-04 00:00:00,,1.1.2,部门1
